"","Estimate","Std. Error","z value","Pr(>|z|)","OR","2.5 %","97.5 %"
"(Intercept)",-4.36328524461548,1.23086117116638,-3.54490445131254,0.000392755431569062,0.0127364764023603,0.000701305973551315,0.102711164072838
"suppVC",-4.39709551454768,1.56287114858555,-2.81347283077507,0.0049009527526092,0.0123130510944229,0.000206754359727939,0.143000538344226
"dose",5.82071218648855,1.44964126482728,4.01527766056113,5.93758509008233e-05,337.212126051705,31.2269375544383,10233.1281219156
